source,item_id,title_id,title,creators,language,year,period,genre,non_english_title,subfield,biology_hits,subjects,volume_info,barcode,item_url,item_text_url,copyright_status,rights_statement,license_type,rights_holder,work_id,period_bin
BHL,62579,10351,"The Syrphid of the Ethiopian region based on material in the collection of the British Museum (Natural history), with descriptions of new genera and species","British Museum (Natural History). Department of Entomology.; Bezzi, Mario, 1868-1927",ENG,1915,1910_1919,monograph_or_book,0,taxonomy_systematics,natural history,Diptera; Ethiopia; Syrphidae,,syrphidofethiopi00britrich,https://www.biodiversitylibrary.org/item/62579,https://www.biodiversitylibrary.org/itemtext/62579,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,10351,1910_1929
BHL,51974,15206,The mammals of India; a natural history of all the animals known to inhabit continental India,"Jerdon, T. C. (Thomas Claverhill), 1811-1872",ENG,1874,1870_1879,monograph_or_book,0,natural_history_ecology_behavior,animal;animals;natural history,India; Mammals,,mammalsofindiana00jerd,https://www.biodiversitylibrary.org/item/51974,https://www.biodiversitylibrary.org/itemtext/51974,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,15206,1870_1889
BHL,67042,13281,"Guide to the gallery of birds in the department of zoology, British Museum (Natural History)",British Museum (Natural History). Department of Zoology.,ENG,1921,1920_1929,monograph_or_book,0,natural_history_ecology_behavior,natural history;zoology,Birds,Atlas (1921),guidetogallerybi00brituoft,https://www.biodiversitylibrary.org/item/67042,https://www.biodiversitylibrary.org/itemtext/67042,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,13281,1910_1929
BHL,67047,35791,"Guide to the shell and starfish galleries (Mollusca, Echinodermata, Vermes) in the Department of Zoology of the British Museum (Natural History) ...",British Museum (Natural History). Department of Zoology.,ENG,1888,1880_1889,monograph_or_book,0,natural_history_ecology_behavior,natural history;zoology,Echinodermata; Mollusks; Worms,,guidetoshellstar00brituoft,https://www.biodiversitylibrary.org/item/67047,https://www.biodiversitylibrary.org/itemtext/67047,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,35791,1870_1889
BHL,67088,25418,"Guide to the specimens of the horse family (Equidæ) exhibited in the Department of Zoology, British Museum (Natural History)","British Museum (Natural History). Department of Zoology.; Lydekker, Richard, 1849-1915",ENG,1907,1900_1909,monograph_or_book,0,taxonomy_systematics,natural history;zoology,British Museum; Catalogs; Horses,,guidetospecimens00brit,https://www.biodiversitylibrary.org/item/67088,https://www.biodiversitylibrary.org/itemtext/67088,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,25418,1890_1909
BHL,54797,55012,The seals and whales of the British seas,"Southwell, Thomas, 1831-1909",ENG,1881,1880_1889,monograph_or_book,0,general_or_unknown,animal;animals,Cetacea; Seals (Animals); Whales,,sealswhalesofbri00sout,https://www.biodiversitylibrary.org/item/54797,https://www.biodiversitylibrary.org/itemtext/54797,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,55012,1870_1889
BHL,55014,16281,"Odontography; or, A treatise on the comparative anatomy of the teeth; their physiological relations, mode of development, and microscopic structure, in the vertebrate animals","Owen, Richard, 1804-1892",ENG,1840,1830_1849,monograph_or_book,0,comparative_anatomy_morphology,anatomy;animal;animals;comparative anatomy,Teeth,v.1 (1840-1845),odontographyortr01owen,https://www.biodiversitylibrary.org/item/55014,https://www.biodiversitylibrary.org/itemtext/55014,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,16281,1830_1849
BHL,55137,16330,"The depths of the sea. An account of the general results of the dredging cruises of H.M. SS. Porcupine and Lightning during the summers of 1868, 1869 and 1870, under the scientific direction of Dr. Carpenter, F.R.S., J. Gwyn Jeffreys, F.R.S., and Dr. Wyville Thomson, F.R.S","Thomson, C. Wyville, Sir, (Charles Wyville), 1830-1882; Carpenter, William Benjamin, 1813-1885; Jeffreys, John Gwyn 1809-1885",ENG,1873,1870_1879,monograph_or_book,0,taxonomy_systematics,animal;animals,Atlantic Ocean; Deep-sea desposits; Deep-sea temperature; Lightning (Ship); Marine animals; Ocean; Porcupine (Ship),,depthsofseaaccou00tho,https://www.biodiversitylibrary.org/item/55137,https://www.biodiversitylibrary.org/itemtext/55137,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,16330,1870_1889
BHL,55213,16342,"British conchology, or, An account of the Mollusca which now inhabit the British Isles and the surrounding seas","Jeffreys, John Gwyn 1809-1885; Sowerby, G. B. (George Brettingham), 1812-1884; Sowerby, W.",ENG,1867,1860_1869,monograph_or_book,0,general_or_unknown,conchology,Great Britain; Mollusks; Pictorial works; Shells,v.4 (1867),britishconcholog04jeffr,https://www.biodiversitylibrary.org/item/55213,https://www.biodiversitylibrary.org/itemtext/55213,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,16342,1850_1869
BHL,66912,118872,"Guide to the coral gallery (Protozoa, Porifera or sponges, Hydrozoa, and Anthozoa) : in the Department of Zoology, British Museum (Natural History) ...","British Museum (Natural History). Department of Zoology.; Bell, F. J. (Francis Jeffrey), 1855-1924; Kirkpatrick, Randolph, 1863-",ENG,1907,1900_1909,monograph_or_book,0,natural_history_ecology_behavior,natural history;zoology,Corals; Electronic books; Protozoa; Porifera,,guidetocoralgall00brituoft,https://www.biodiversitylibrary.org/item/66912,https://www.biodiversitylibrary.org/itemtext/66912,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,118872,1890_1909
BHL,54184,16033,"Materials for a carcinological fauna of India, no. 1-2...","Alcock, A. (Alfred), 1859-1933",ENG,1896,1890_1899,monograph_or_book,0,natural_history_ecology_behavior,fauna,Crabs,no.2 (1896),materialsforcarc12alco,https://www.biodiversitylibrary.org/item/54184,https://www.biodiversitylibrary.org/itemtext/54184,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,16033,1890_1909
BHL,54211,16046,Elements of conchology : an introduction to the natural history of shells and of the animals which form them,"Reeve, Lowell Augustus 1814-1865; Sowerby, G. B. (George Brettingham), 1812-1884; Adams, Arthur, 1820-1878; Brooks, Vincent, 1815?-1885",ENG,1860,1860_1869,textbook_manual,0,taxonomy_systematics,animal;animals;classification;conchology;natural history,Classification; Mollusks,,elementsofconcho00reev,https://www.biodiversitylibrary.org/item/54211,https://www.biodiversitylibrary.org/itemtext/54211,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,16046,1850_1869
BHL,54278,16061,The conchologist's companion,"Roberts, Mary, 1788-1864",ENG,1834,1830_1849,monograph_or_book,0,general_or_unknown,animal;animals,Marine animals; Mollusks; Pearls; Shells,,conchologistscom00robe,https://www.biodiversitylibrary.org/item/54278,https://www.biodiversitylibrary.org/itemtext/54278,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,16061,1830_1849
BHL,54699,16203,Entomological notes,"Scudder, Samuel Hubbard, 1837-1911",ENG,1868,1860_1869,monograph_or_book,0,general_or_unknown,entomology,Entomology,,entomologicalnot00scud,https://www.biodiversitylibrary.org/item/54699,https://www.biodiversitylibrary.org/itemtext/54699,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,16203,1850_1869
BHL,55212,16339,"American marine conchology, or, Descriptions of the shells of the Atlantic coast of the United States from Maine to Florida","Tryon, George W., (George Washington), 1838-1888",ENG,1873,1870_1879,monograph_or_book,0,general_or_unknown,conchology,Mollusks; United States,,americanmarineco01tryo,https://www.biodiversitylibrary.org/item/55212,https://www.biodiversitylibrary.org/itemtext/55212,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,16339,1870_1889
BHL,59975,164031,Bibliography of the more important contributions to American economic entomology,"United States. Bureau of Entomology.; Banks, Nathan, 1868-1953; Henshaw, Samuel, 1852-1941",ENG,1889,1880_1889,monograph_or_book,0,general_or_unknown,entomology,"1843-1895; (Charles Valentine),; 1808-1869; Bibliography; Insects; Insects, Injurious and beneficial; United States; Riley, Charles V; Walsh, Benjamin Dana,",pt.1-pt.3 (1889-1890),bibliographyofmo00unitiala,https://www.biodiversitylibrary.org/item/59975,https://www.biodiversitylibrary.org/itemtext/59975,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,164031,1870_1889
BHL,53957,46703,A monograph of the seal-islands of Alaska,"Elliott, Henry Wood, 1846-1930",ENG,1882,1880_1889,monograph_or_book,0,taxonomy_systematics,animal;animals,Seals (Animals); Pribilof Islands (Alaska); Pribilof Islands; Sealing,,monographofseali01elli,https://www.biodiversitylibrary.org/item/53957,https://www.biodiversitylibrary.org/itemtext/53957,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,46703,1870_1889
BHL,54061,15996,"Conchologia systematica, or Complete system of conchology: in which the Lepades and conchiferous Mollusca are described and classified according to their natural organization and habits","Reeve, Lowell Augustus 1814-1865; Sowerby, G. B. (George Brettingham), 1812-1884",ENG,1842,1830_1849,monograph_or_book,0,natural_history_ecology_behavior,conchology,Mollusks; Shells,v.2 (1842),conchologiasyste02reev,https://www.biodiversitylibrary.org/item/54061,https://www.biodiversitylibrary.org/itemtext/54061,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,15996,1830_1849
BHL,317866,197349,"Scientific reports,. Series C, Zoology and botany","Mawson, Douglas, Sir, 1882-1958; Australasian Antarctic Expedition (1911-1914)",ENG,1917,1910_1919,monograph_or_book,0,general_or_unknown,zoology,,v.5 (1917-1920),scientificrepor5maws,https://www.biodiversitylibrary.org/item/317866,https://www.biodiversitylibrary.org/itemtext/317866,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,197349,1910_1929
BHL,317923,198024,"Essays on natural history, chiefly ornithology. Second series: with a continuation of the autobiography of the author","Waterton, Charles, 1782-1865",ENG,1844,1830_1849,popular_or_essay,0,natural_history_ecology_behavior,natural history;ornithology,"1782-1865; Birds; Electronic books; Natural history; Ornithology; Waterton, Charles,",,b33030212,https://www.biodiversitylibrary.org/item/317923,https://www.biodiversitylibrary.org/itemtext/317923,Not provided. Contact Holding Institution to verify copyright status.,"<a href=""http://creativecommons.org/publicdomain/mark/1.0/"" rel=""nofollow"">This work is available under the Creative Commons, Public Domain Mark</a>",,,198024,1830_1849
BHL,54561,16159,"An introduction to the study of conchology : describing the orders, genera, and species of shells; their most prominent characteristics, and usual mode of classification : with observations on the nature and properties of the animals; and directions for collecting, preserving, and cleaning shells.and directions for collecting, preserving, and cleaning shells","Wodarch, Charles.",ENG,1820,1800_1829,textbook_manual,0,taxonomy_systematics,animal;animals;classification;conchology,Shells,,introductiontost00woda,https://www.biodiversitylibrary.org/item/54561,https://www.biodiversitylibrary.org/itemtext/54561,Public domain. The BHL considers that this work is no longer under copyright protection.,,,,16159,1800_1829
