source,item_id,title_id,title,creators,language,year,period,genre,subfield,biology_hits,subjects,volume_info,barcode,item_url,item_text_url,copyright_status,rights_statement,license_type,rights_holder
BHL,15647,53985,Text-book of embryology,"Heape, Walter, 1855-1929; Kerr, John Graham, 1869-1957; MacBride, E. W. (Ernest William), 1866-1940",ENG,1914,1910_1919,textbook_manual,embryology_development,embryology,Embryology; Invertebrates; Vertebrates,,textbookofembryo00heap,https://www.biodiversitylibrary.org/item/15647,https://www.biodiversitylibrary.org/itemtext/15647,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15673,1027,"Vertebrate embryology; a text-book for students and practitioners, by A. Milnes Marshall",,ENG,1893,1890_1899,textbook_manual,embryology_development,embryology,,,vertebrateembryo00mars,https://www.biodiversitylibrary.org/item/15673,https://www.biodiversitylibrary.org/itemtext/15673,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15729,1071,An introduction to the classification of animals,"Huxley, Thomas Henry, 1825-1895",ENG,1869,1860_1869,textbook_manual,taxonomy_systematics,animal;animals;classification;zoology,Classification; Zoology,,introductiontocl00huxl,https://www.biodiversitylibrary.org/item/15729,https://www.biodiversitylibrary.org/itemtext/15729,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15874,1130,"Catalogue of Australian mammals, with introductory notes on general mammalogy","Ogilby, John Douglas 1853-1925",ENG,1892,1890_1899,catalogue_list,taxonomy_systematics,mammalogy,Australia; Catalogs and collections; Mammals,,catalogueofaustr00ogil,https://www.biodiversitylibrary.org/item/15874,https://www.biodiversitylibrary.org/itemtext/15874,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15886,1137,The life-histories of the British marine food-fishes,"M'Intosh, William Carmichael, 1838-1931; Masterman, Arthur T",ENG,1897,1890_1899,monograph_or_book,embryology_development,embryology,Embryology; Food; Fishes,,lifehistoriesofb00mcin,https://www.biodiversitylibrary.org/item/15886,https://www.biodiversitylibrary.org/itemtext/15886,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15978,1181,Three lectures on experimental embryology,"Jenkinson, J. W. (John Wilfrid), 1871-1915; Marett, R. R. 1866-1943",ENG,1917,1910_1919,popular_or_essay,embryology_development,embryology,"Embryology, Experimental",,threelecturesone00jenk,https://www.biodiversitylibrary.org/item/15978,https://www.biodiversitylibrary.org/itemtext/15978,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15999,1199,Animal mechanics,"Bell, Charles, Sir, 1774-1842; Wyman, Jeffries, 1814-1874",ENG,1902,1900_1909,monograph_or_book,general_or_unknown,animal,Animal mechanics,,animalmechanics00bell,https://www.biodiversitylibrary.org/item/15999,https://www.biodiversitylibrary.org/itemtext/15999,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16036,1220,"Catalogue of the British species of pisidium (recent & fossil) in the collections of the British Museum (Natural History), with notes on those of western Europe","British Museum (Natural History). Department of Zoology.; Woodward, Bernard Barham, 1853-1930",ENG,1913,1910_1919,catalogue_list,taxonomy_systematics,natural history,Pisidia (Crustacea),,catalogueofbriti00brit,https://www.biodiversitylibrary.org/item/16036,https://www.biodiversitylibrary.org/itemtext/16036,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15613,57469,Dissection of the dog as a basis for the study of physiology,"Howell, William H. (William Henry), 1860-1945",ENG,1888,1880_1889,monograph_or_book,physiology,anatomy;physiology,Anatomy; Dissection; Dogs; Mammals,,dissectionofdoga00howe,https://www.biodiversitylibrary.org/item/15613,https://www.biodiversitylibrary.org/itemtext/15613,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15646,14923,Natural history,"British National Antarctic Expedition (1901-1904); Bell, F. J. (Francis Jeffrey), 1855-1924; Fletcher, L. Sir, (Lazarus), 1854-1921; Fletcher, L. 1854-1921; British Museum (Natural History)",ENG,1907,1900_1909,monograph_or_book,natural_history_ecology_behavior,natural history;zoology,Antarctica; Botany; Geology; Zoology,v.3 (1907),naturalhistory03brit,https://www.biodiversitylibrary.org/item/15646,https://www.biodiversitylibrary.org/itemtext/15646,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
