work_id,period_bin,subfield,n_rows,all_n,all_divine_teleology,all_non_divine_teleology,all_internal_essence,whole_n,whole_divine_teleology,whole_non_divine_teleology,whole_internal_essence,part_n,part_divine_teleology,part_non_divine_teleology,part_internal_essence
54380,1870_1889,natural_history_ecology_behavior,929,116,2,108,6,31,1,28,2,85,1,80,4
54382,1890_1909,natural_history_ecology_behavior,637,99,2,96,1,19,1,18,0,80,1,78,1
54401,1890_1909,general_or_unknown,4724,140,0,122,18,73,0,71,2,67,0,51,16
54408,1910_1929,general_or_unknown,1200,431,0,310,121,136,0,103,33,295,0,207,88
54428,1890_1909,taxonomy_systematics,399,5,0,0,5,1,0,0,1,4,0,0,4
54431,1910_1929,general_or_unknown,497,48,0,43,5,32,0,29,3,16,0,14,2
54435,1910_1929,natural_history_ecology_behavior,372,34,0,34,0,16,0,16,0,18,0,18,0
54442,1890_1909,embryology_development,225,6,0,3,3,2,0,1,1,4,0,2,2
54457,1910_1929,general_or_unknown,743,85,0,46,39,22,0,18,4,63,0,28,35
54463,1910_1929,general_or_unknown,1055,83,0,39,44,31,0,12,19,52,0,27,25
54469,1870_1889,taxonomy_systematics,1200,474,2,186,286,109,0,40,69,365,2,146,217
54477,1910_1929,general_or_unknown,1019,257,2,212,43,47,0,43,4,210,2,169,39
13645,1910_1929,general_or_unknown,2163,197,0,184,13,102,0,100,2,95,0,84,11
54483,1910_1929,natural_history_ecology_behavior,1200,68,0,67,1,53,0,53,0,15,0,14,1
54492,1890_1909,general_or_unknown,311,81,0,38,43,32,0,17,15,49,0,21,28
54500,1890_1909,general_or_unknown,801,312,0,148,164,113,0,44,69,199,0,104,95
54502,1910_1929,general_or_unknown,660,83,0,83,0,37,0,37,0,46,0,46,0
54530,1890_1909,general_or_unknown,577,136,5,114,17,84,3,68,13,52,2,46,4
54540,1890_1909,evolution_adaptation,808,259,6,103,150,167,5,56,106,92,1,47,44
54556,1890_1909,general_or_unknown,793,56,0,28,28,21,0,13,8,35,0,15,20
54558,1890_1909,natural_history_ecology_behavior,651,42,0,37,5,30,0,28,2,12,0,9,3
11500,1910_1929,taxonomy_systematics,2764,6,0,0,6,0,0,0,0,6,0,0,6
58790,1910_1929,general_or_unknown,1200,181,0,139,42,90,0,71,19,91,0,68,23
54569,1850_1869,natural_history_ecology_behavior,2781,796,17,624,155,370,11,304,55,426,6,320,100
54571,1870_1889,natural_history_ecology_behavior,914,187,13,152,22,112,6,88,18,75,7,64,4
12294,1890_1909,comparative_anatomy_morphology,4800,1555,0,790,765,444,0,200,244,1111,0,590,521
54574,1870_1889,taxonomy_systematics,735,36,0,22,14,16,0,9,7,20,0,13,7
54577,1890_1909,general_or_unknown,756,332,0,276,56,90,0,68,22,242,0,208,34
54578,1890_1909,general_or_unknown,1200,352,0,286,66,107,0,90,17,245,0,196,49
15677,1910_1929,paleontology,1282,19,0,19,0,12,0,12,0,7,0,7,0
1202,1890_1909,comparative_anatomy_morphology,2400,231,0,63,168,37,0,4,33,194,0,59,135
54596,1870_1889,evolution_adaptation,163,2,0,0,2,2,0,0,2,0,0,0,0
54601,1870_1889,comparative_anatomy_morphology,1200,82,0,33,49,10,0,3,7,72,0,30,42
54607,1870_1889,embryology_development,561,80,0,22,58,17,0,5,12,63,0,17,46
54620,1890_1909,natural_history_ecology_behavior,1260,106,0,25,81,16,0,14,2,90,0,11,79
54621,1890_1909,general_or_unknown,1200,416,0,214,202,101,0,47,54,315,0,167,148
54623,1890_1909,natural_history_ecology_behavior,484,8,0,8,0,4,0,4,0,4,0,4,0
54635,1910_1929,evolution_adaptation,474,43,0,24,19,29,0,13,16,14,0,11,3
54654,1910_1929,comparative_anatomy_morphology,1200,87,0,71,16,57,0,48,9,30,0,23,7
54674,1890_1909,general_or_unknown,66,4,0,0,4,1,0,0,1,3,0,0,3
54676,1910_1929,natural_history_ecology_behavior,3429,378,1,318,59,89,0,76,13,289,1,242,46
49250,1910_1929,general_or_unknown,269,34,0,28,6,16,0,14,2,18,0,14,4
54680,1910_1929,comparative_anatomy_morphology,55,0,0,0,0,0,0,0,0,0,0,0,0
54692,1910_1929,natural_history_ecology_behavior,2516,435,9,350,76,179,4,171,4,256,5,179,72
54700,1850_1869,natural_history_ecology_behavior,1200,73,4,57,12,33,1,31,1,40,3,26,11
54706,1910_1929,natural_history_ecology_behavior,409,127,0,120,7,32,0,31,1,95,0,89,6
54709,1890_1909,general_or_unknown,1200,62,0,58,4,55,0,52,3,7,0,6,1
54737,1870_1889,general_or_unknown,1200,46,0,27,19,17,0,14,3,29,0,13,16
54741,1910_1929,paleontology,675,44,0,11,33,3,0,0,3,41,0,11,30
54742,1910_1929,comparative_anatomy_morphology,521,100,0,51,49,18,0,2,16,82,0,49,33
54748,1890_1909,evolution_adaptation,1200,100,1,78,21,59,1,45,13,41,0,33,8
54749,1870_1889,taxonomy_systematics,242,2,0,0,2,1,0,0,1,1,0,0,1
54763,1910_1929,natural_history_ecology_behavior,836,219,1,196,22,73,1,68,4,146,0,128,18
54774,1850_1869,general_or_unknown,1200,246,0,234,12,100,0,92,8,146,0,142,4
54789,1890_1909,natural_history_ecology_behavior,1143,91,0,88,3,38,0,36,2,53,0,52,1
54799,1910_1929,general_or_unknown,1045,298,0,293,5,243,0,241,2,55,0,52,3
54811,1870_1889,general_or_unknown,139,8,0,7,1,4,0,3,1,4,0,4,0
54812,1870_1889,natural_history_ecology_behavior,742,36,1,35,0,20,0,20,0,16,1,15,0
54815,1890_1909,natural_history_ecology_behavior,520,34,0,33,1,21,0,21,0,13,0,12,1
54827,1890_1909,general_or_unknown,1200,495,0,261,234,141,0,73,68,354,0,188,166
54859,1890_1909,general_or_unknown,967,349,1,266,82,206,1,143,62,143,0,123,20
54870,1910_1929,physiology,1200,349,1,253,95,116,0,80,36,233,1,173,59
54876,1890_1909,natural_history_ecology_behavior,1200,275,2,233,40,75,1,66,8,200,1,167,32
54878,1890_1909,general_or_unknown,124,3,0,3,0,2,0,2,0,1,0,1,0
54886,1890_1909,general_or_unknown,47,0,0,0,0,0,0,0,0,0,0,0,0
13286,1890_1909,general_or_unknown,3600,358,0,355,3,178,0,176,2,180,0,179,1
54893,1910_1929,general_or_unknown,774,36,0,36,0,19,0,19,0,17,0,17,0
54894,1910_1929,general_or_unknown,494,63,0,54,9,29,0,26,3,34,0,28,6
54897,1890_1909,natural_history_ecology_behavior,649,34,1,33,0,21,0,21,0,13,1,12,0
54913,1910_1929,natural_history_ecology_behavior,498,18,0,18,0,11,0,11,0,7,0,7,0
54958,1910_1929,general_or_unknown,1200,303,0,253,50,95,0,83,12,208,0,170,38
54964,1870_1889,general_or_unknown,939,289,7,212,70,42,1,27,14,247,6,185,56
54981,1910_1929,general_or_unknown,1200,164,0,138,26,46,0,40,6,118,0,98,20
54984,1890_1909,general_or_unknown,1200,283,0,229,54,118,0,109,9,165,0,120,45
54995,1890_1909,evolution_adaptation,1679,191,12,115,64,96,9,50,37,95,3,65,27
55012,1870_1889,general_or_unknown,660,52,0,40,12,8,0,8,0,44,0,32,12
55015,1890_1909,comparative_anatomy_morphology,1129,64,0,57,7,59,0,53,6,5,0,4,1
13320,1870_1889,natural_history_ecology_behavior,1072,130,6,119,5,97,6,88,3,33,0,31,2
15034,1890_1909,general_or_unknown,2400,186,0,170,16,40,0,38,2,146,0,132,14
55039,1890_1909,paleontology,403,24,0,17,7,2,0,1,1,22,0,16,6
55042,1890_1909,general_or_unknown,540,101,0,101,0,50,0,50,0,51,0,51,0
55060,1890_1909,general_or_unknown,960,148,0,78,70,35,0,20,15,113,0,58,55
55063,1870_1889,general_or_unknown,4800,153,0,141,12,72,0,68,4,81,0,73,8
55068,1890_1909,natural_history_ecology_behavior,1200,223,10,180,33,113,6,90,17,110,4,90,16
55072,1910_1929,general_or_unknown,1664,153,0,109,44,116,0,83,33,37,0,26,11
55076,1910_1929,general_or_unknown,117,7,0,0,7,0,0,0,0,7,0,0,7
55089,1890_1909,natural_history_ecology_behavior,1184,93,0,93,0,43,0,43,0,50,0,50,0
55090,1910_1929,natural_history_ecology_behavior,565,43,0,40,3,20,0,18,2,23,0,22,1
55095,1910_1929,general_or_unknown,2400,879,1,405,473,224,1,98,125,655,0,307,348
87234,1910_1929,comparative_anatomy_morphology,797,214,0,164,50,63,0,44,19,151,0,120,31
55106,1910_1929,general_or_unknown,1200,334,0,257,77,117,0,101,16,217,0,156,61
58685,1890_1909,general_or_unknown,1200,55,0,52,3,18,0,18,0,37,0,34,3
55113,1910_1929,general_or_unknown,1200,398,0,340,58,73,0,64,9,325,0,276,49
55116,1910_1929,general_or_unknown,1200,331,0,219,112,144,0,102,42,187,0,117,70
55125,1870_1889,general_or_unknown,1200,53,2,51,0,41,2,39,0,12,0,12,0
55145,1890_1909,evolution_adaptation,216,15,1,7,7,12,1,4,7,3,0,3,0
55148,1910_1929,general_or_unknown,437,10,0,10,0,6,0,6,0,4,0,4,0
44584,1910_1929,general_or_unknown,1200,108,1,103,4,43,0,43,0,65,1,60,4
55164,1870_1889,general_or_unknown,1200,61,1,39,21,18,0,18,0,43,1,21,21
55170,1910_1929,general_or_unknown,907,335,3,290,42,118,1,108,9,217,2,182,33
55200,1910_1929,general_or_unknown,953,65,0,64,1,45,0,44,1,20,0,20,0
55203,1910_1929,general_or_unknown,575,14,0,14,0,5,0,5,0,9,0,9,0
55207,1890_1909,comparative_anatomy_morphology,374,22,0,8,14,17,0,5,12,5,0,3,2
55214,1870_1889,paleontology,506,56,0,1,55,46,0,1,45,10,0,0,10
55215,1910_1929,general_or_unknown,1200,155,0,127,28,88,0,72,16,67,0,55,12
55245,1910_1929,comparative_anatomy_morphology,849,4,0,4,0,1,0,1,0,3,0,3,0
55247,1910_1929,general_or_unknown,450,46,0,42,4,33,0,30,3,13,0,12,1
55248,1910_1929,evolution_adaptation,278,14,0,7,7,13,0,6,7,1,0,1,0
55254,1870_1889,evolution_adaptation,710,155,6,51,98,76,6,22,48,79,0,29,50
55262,1910_1929,natural_history_ecology_behavior,687,88,0,87,1,31,0,31,0,57,0,56,1
55264,1910_1929,general_or_unknown,760,130,0,104,26,56,0,44,12,74,0,60,14
55271,1890_1909,general_or_unknown,1200,449,0,239,210,154,0,82,72,295,0,157,138
55277,1890_1909,general_or_unknown,423,81,0,76,5,30,0,27,3,51,0,49,2
55279,1890_1909,natural_history_ecology_behavior,981,273,1,198,74,58,1,32,25,215,0,166,49
55280,1890_1909,comparative_anatomy_morphology,2400,1144,0,572,572,392,0,173,219,752,0,399,353
12620,1890_1909,general_or_unknown,2400,459,0,197,262,70,0,47,23,389,0,150,239
55285,1890_1909,evolution_adaptation,471,48,2,19,27,31,2,11,18,17,0,8,9
55287,1910_1929,evolution_adaptation,567,58,0,24,34,44,0,18,26,14,0,6,8
55302,1870_1889,comparative_anatomy_morphology,636,14,0,8,6,8,0,6,2,6,0,2,4
55308,1910_1929,evolution_adaptation,682,116,14,62,40,55,7,26,22,61,7,36,18
55313,1910_1929,evolution_adaptation,661,140,2,100,38,34,2,20,12,106,0,80,26
55316,1870_1889,general_or_unknown,545,106,19,84,3,31,5,25,1,75,14,59,2
55321,1910_1929,natural_history_ecology_behavior,1200,207,0,163,44,31,0,27,4,176,0,136,40
55324,1890_1909,general_or_unknown,511,186,0,121,65,44,0,34,10,142,0,87,55
55335,1890_1909,comparative_anatomy_morphology,1719,588,1,236,351,232,1,94,137,356,0,142,214
13615,1890_1909,taxonomy_systematics,1818,443,0,260,183,68,0,43,25,375,0,217,158
14535,1910_1929,taxonomy_systematics,2400,253,0,249,4,196,0,194,2,57,0,55,2
55364,1910_1929,natural_history_ecology_behavior,1200,27,0,27,0,20,0,20,0,7,0,7,0
55368,1890_1909,general_or_unknown,495,41,0,33,8,14,0,10,4,27,0,23,4
98121,1890_1909,natural_history_ecology_behavior,355,17,0,17,0,10,0,10,0,7,0,7,0
55370,1870_1889,general_or_unknown,1200,314,3,206,105,95,3,50,42,219,0,156,63
55374,1910_1929,general_or_unknown,958,270,0,138,132,101,0,52,49,169,0,86,83
55375,1890_1909,evolution_adaptation,738,164,12,96,56,88,10,47,31,76,2,49,25
55378,1890_1909,natural_history_ecology_behavior,1200,235,0,174,61,92,0,83,9,143,0,91,52
