source,identifier,title,creators,year,collections,item_text_url,work_key
IA,paper-doi-10_1098_rstl_1755_0061,"An Account of Four Undescribed Fishes of Aleppo; In a Letter to Mr. Peter Collinson, F.R.S. by Alexander Russel, M.D.",A. Russel,1755,paper_doi_mirrored_texts;journals,https://archive.org/download/paper-doi-10_1098_rstl_1755_0061/paper-doi-10_1098_rstl_1755_0061_djvu.txt,arussel|account of four undescribed fishes of aleppo in
IA,paper-doi-10_1098_rstl_1755_0039,"An Account of Some Experiments on the Sensibility and Irritability of the Several Parts of Animals; In a Letter from Richard Brocklesby, M. D. F. R. S. to the Reverend Thomas Birch, D. D. Secr. R. S.",R. Brocklesby,1755,paper_doi_mirrored_texts;journals,https://archive.org/download/paper-doi-10_1098_rstl_1755_0039/paper-doi-10_1098_rstl_1755_0039_djvu.txt,rbrocklesby|account of some experiments on the sensibility and
IA,bim_eighteenth-century_the-general-magazine-of-_martin-benjamin_1755_1,"The general magazine of arts and sciences, philosophical, philological, mathematical, and mechanical: under the following heads, viz. I. The young gentlemen's and ladies philosophy; ... II. The natural history of the world, ... III. A compleat system of all the philological sciences, ... IV. A body of mathematical institutes, ... 1755: Vol 1","Martin, Benjamin.",1755,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_the-general-magazine-of-_martin-benjamin_1755_1/bim_eighteenth-century_the-general-magazine-of-_martin-benjamin_1755_1_djvu.txt,martin|general magazine of arts and sciences philosophical philological
IA,39020024845953-thenaturalhisto,"The natural history of Aleppo, and parts adjacent : containing a description of the city, and the principal natural productions in its neighbourhood; together with an account of the climate, inhabitants, and diseases; particularly of the plague, with the methods used by the Europeans for their preservation","Russell, Alexander, 1715?-1768",1756,gwulibraries;americana;fav-drosen2000;fav-flosquis,https://archive.org/download/39020024845953-thenaturalhisto/39020024845953-thenaturalhisto_djvu.txt,russell|natural history of aleppo and parts adjacent containing
IA,bim_eighteenth-century_a-compendium-of-authenti_1756,"A compendium of authentic and entertaining voyages, digested in a chronological series. The whole exhibiting a clear view of the customs, manners, religion, government, commerce, and natural history of most nations in the known world. ... 1756",,1756,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_a-compendium-of-authenti_1756/bim_eighteenth-century_a-compendium-of-authenti_1756_djvu.txt,|compendium of authentic and entertaining voyages digested in
IA,bim_eighteenth-century_rural-beauties-or-the-_botanista-theophilus_1757,"Rural beauties; or, the natural history of the four following western counties, viz. Cornwall, Devonshire, Dorsetshire, and Somersetshire. With additional remarks. 1757","Botanista, Theophilus.",1757,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_rural-beauties-or-the-_botanista-theophilus_1757/bim_eighteenth-century_rural-beauties-or-the-_botanista-theophilus_1757_djvu.txt,botanista|rural beauties or the natural history of the
IA,bim_eighteenth-century_a-natural-history-of-fos_mendes-da-costa-emanuel_1757,"A natural history of fossils. By Emanuel Mendes da Costa, ... Vol. I. Part I. 1757","Mendes Da Costa, Emanuel.",1757,pub_eighteenth-century;bim_microfilm;microfilm;fav-reddy_sauls,https://archive.org/download/bim_eighteenth-century_a-natural-history-of-fos_mendes-da-costa-emanuel_1757/bim_eighteenth-century_a-natural-history-of-fos_mendes-da-costa-emanuel_1757_djvu.txt,mendesdacosta|natural history of fossils by emanuel mendes da
IA,bim_eighteenth-century_spectacle-de-la-nature-_1757_0,"Spectacle de la nature: or, nature display'd. Being discourses on such particulars of natural history as were thought most proper to exciste the curiosity, and form the minds of youth. Illustrated with copper plates. Vol. II. Translated from the original French, by Mr. Humphreys. The eighth edition, revised and corrected. 1757",,1757,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_spectacle-de-la-nature-_1757_0/bim_eighteenth-century_spectacle-de-la-nature-_1757_0_djvu.txt,|spectacle de la nature or nature display d
IA,anaturalhistory00costgoog,A Natural History of Fossils,Emanuel Mendes da . Costa,1757,americana,https://archive.org/download/anaturalhistory00costgoog/anaturalhistory00costgoog_djvu.txt,emanuelmendesdacosta|natural history of fossils
IA,10226237bsb,"A Natural History Of Fossils. 1,1","Mendes da Costa, Emanuel",1757,german-online-libraries;booksbylanguage_german;booksbylanguage,https://archive.org/download/10226237bsb/10226237bsb_djvu.txt,mendesdacosta|natural history of fossils 1 1
IA,paper-doi-10_1098_rstl_1757_0037,"The Effects of the Opuntia, or Prickly Pear, and of the Indigo Plant, in Colouring the Juices of Living Animals. Communicated by H. Baker, F. R. S.",H. Baker,1757,paper_doi_mirrored_texts;journals,https://archive.org/download/paper-doi-10_1098_rstl_1757_0037/paper-doi-10_1098_rstl_1757_0037_djvu.txt,hbaker|effects of the opuntia or prickly pear and
IA,bim_eighteenth-century_a-second-dissertation-on_haller-albrecht-von_1757,"A second dissertation on the motion of the blood, and effects on [sic] bleeding; being a collection of two hundred thirty-five anatomical experiments made on living animals, ... By ... Dr. Albert Haller, ... Translated by a physician. 1757","Haller, Albrecht von.",1757,pub_eighteenth-century;bim_microfilm;microfilm;fav-mary_lawton406,https://archive.org/download/bim_eighteenth-century_a-second-dissertation-on_haller-albrecht-von_1757/bim_eighteenth-century_a-second-dissertation-on_haller-albrecht-von_1757_djvu.txt,haller|second dissertation on the motion of the blood
IA,bim_eighteenth-century_a-compendium-of-the-most_1757_2,"A compendium of the most approved modern travels. Containing a distinct account of the religion, government, commerce, manners, and natural history of several nations. ... 1757: Vol 2",,1757,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_a-compendium-of-the-most_1757_2/bim_eighteenth-century_a-compendium-of-the-most_1757_2_djvu.txt,|compendium of the most approved modern travels containing
IA,bim_eighteenth-century_remarks-on-mr-david-hum_warburton-william_1757,Remarks on Mr. David Hume's Essay on the natural history of religion: addressed to the Rev. Dr. Warburton. 1757,"Warburton, William",1757,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_remarks-on-mr-david-hum_warburton-william_1757/bim_eighteenth-century_remarks-on-mr-david-hum_warburton-william_1757_djvu.txt,warburton|remarks on mr david hume s essay on
IA,bim_eighteenth-century_four-dissertations-i-t_hume-david_1757,"Four dissertations. I. The natural history of religion. II. Of the passions. III. Of tragedy. IV. Of the standard of taste. By David Hume, esq. 1757","Hume, David",1757,pub_eighteenth-century;bim_microfilm;microfilm;fav-elizabeth_march;fav-francesca_grassi502,https://archive.org/download/bim_eighteenth-century_four-dissertations-i-t_hume-david_1757/bim_eighteenth-century_four-dissertations-i-t_hume-david_1757_djvu.txt,hume|four dissertations i the natural history of religion
IA,paper-doi-10_1098_rstl_1757_0041,"Observations on the Origin and Use of the Lymphatic Vessels of Animals: Being an Extract from the Gulstonian Lectures, Read in the Theatre of the College of Physicians of London, in June 1755. By Mark Akenside, M.D. Fellow of the College of Physicians, and of the Royal Society",M. Akenside,1757,paper_doi_mirrored_texts;journals,https://archive.org/download/paper-doi-10_1098_rstl_1757_0041/paper-doi-10_1098_rstl_1757_0041_djvu.txt,makenside|observations on the origin and use of the
IA,bim_eighteenth-century_spectacle-de-la-nature_pluche-noel-antoine_1757,"[Spectacle de la nature. English]. Spectacle de la nature: or, nature display'd. Being discourses on such particulars of natural history ... Vol. III. The eighth edition, revised and corrected. 1757","Pluche, Noel Antoine.",1757,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_spectacle-de-la-nature_pluche-noel-antoine_1757/bim_eighteenth-century_spectacle-de-la-nature_pluche-noel-antoine_1757_djvu.txt,pluche|spectacle de la nature or nature display d
IA,bim_eighteenth-century_tillforladelige-efterre_horrebov-niels_1758,[Tillforladelige Efterretninger om Island]. The natural history of Iceland: ... Translated from the Danish original of Mr. N. Horrebow. And illustrated with a new general map of the island. 1758,"Horrebov, Niels.",1758,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_tillforladelige-efterre_horrebov-niels_1758/bim_eighteenth-century_tillforladelige-efterre_horrebov-niels_1758_djvu.txt,horrebov|natural history of iceland translated from the danish
IA,bim_eighteenth-century_remarks-upon-the-natural_stona-thomas_1758,"Remarks upon The natural history of religion by Mr. Hume. With dialogues on heathen idolatry, and the Christian religion. By S. T. 1758","Stona, Thomas",1758,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_remarks-upon-the-natural_stona-thomas_1758/bim_eighteenth-century_remarks-upon-the-natural_stona-thomas_1758_djvu.txt,stona|remarks upon the natural history of religion by
IA,bub_gb_CzPlLupapjIC,"A voyage to SouthAmerica describing at large The spanish cities towns, provinces &c. on that extensive continent, interspersed throughout with reflections on the genius, customs, manners and trade of the inhabitants; together with the natural history of the country and an account of the gold and silver mines ... by don George Ju",,1758,europeanlibraries;fav-ktw897,https://archive.org/download/bub_gb_CzPlLupapjIC/bub_gb_CzPlLupapjIC_djvu.txt,|voyage to southamerica describing at large the spanish
IA,10867536bsb,The natural history of Iceland,"Horrebov, Niels",1758,german-online-libraries;booksbylanguage_german;booksbylanguage,https://archive.org/download/10867536bsb/10867536bsb_djvu.txt,horrebov|natural history of iceland
IA,10076636bsb,"A Natural and Civil History of California: Containing An accurate Description of that Country, Its Soil, Mountains, Harbours, Lakes, Rivers and Seas, its Animals, Vegetables, Minerals and famous Fishery for Pearls ; The Customs of the Inhabitants, Their Religion, Government and Manner of Living, before their Conversion to the Christian Religion by the missionary Jesuits ; Together With Accounts of the several Voyages and Attempts made for settling California and taking actual Surveys of that Country, its Gulf and Coast of the South Sea ; In Two Volumes. 2","Venegas, Miguel",1759,german-online-libraries;booksbylanguage_german;booksbylanguage,https://archive.org/download/10076636bsb/10076636bsb_djvu.txt,venegas|natural and civil history of california containing an
IA,bim_eighteenth-century_the-natural-history-of-e_martin-benjamin-optici_1759_1,"The natural history of England; or, a description of each particular county, ... Illustrated by a map of each county, ... By Benjamin Martin. 1759: Vol 1","Martin, Benjamin, Optician",1759,pub_eighteenth-century;bim_microfilm;microfilm;fav-cheslyn_wilson,https://archive.org/download/bim_eighteenth-century_the-natural-history-of-e_martin-benjamin-optici_1759_1/bim_eighteenth-century_the-natural-history-of-e_martin-benjamin-optici_1759_1_djvu.txt,martin|natural history of england or a description of
IA,anaturalhistory00albigoog,A Natural History of English Song-birds: And Such of the Foreign as are Usually Brought Over and ...,Eleazar Albin,1759,europeanlibraries;fav-nath_of_spades,https://archive.org/download/anaturalhistory00albigoog/anaturalhistory00albigoog_djvu.txt,eleazaralbin|natural history of english song birds and such
IA,bim_eighteenth-century_the-woody-quiristers-or_1760,"The woody quiristers; or, the birds harmony. In two parts. ... Tune, The bird-catcher's delight. Enter'd according to order. 1760",,1760,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_the-woody-quiristers-or_1760/bim_eighteenth-century_the-woody-quiristers-or_1760_djvu.txt,|woody quiristers or the birds harmony in two
IA,bim_eighteenth-century_the-bird-fanciers-neces_1760,"The bird-fancier's necessary companion and sure guide; being an easy way of breeding canary birds, and the best method of chusing and keeping them, both for breeding and song. Adorned with cuts. 1760",,1760,pub_eighteenth-century;bim_microfilm;microfilm;fav-jesse9951,https://archive.org/download/bim_eighteenth-century_the-bird-fanciers-neces_1760/bim_eighteenth-century_the-bird-fanciers-neces_1760_djvu.txt,|bird fancier s necessary companion and sure guide
IA,paper-doi-10_1098_rstl_1761_0110,"An Account of the Male and Female Cochineal Insects, That Breed on the Cactus Opuntia, or Indian Fig, in South Carolina and Georgia: In a Letter from John Ellis, Esq; to Peter Wych, Esq;",J. Ellis,1761,paper_doi_mirrored_texts;journals;fav-jit_thacker,https://archive.org/download/paper-doi-10_1098_rstl_1761_0110/paper-doi-10_1098_rstl_1761_0110_djvu.txt,jellis|account of the male and female cochineal insects
IA,paper-doi-10_1098_rstl_1761_0076,"Observations on Noxious Animals in England; By the Rev. Richard Forster, M. A. Rector of Shefford in Bucks",R. Forster,1761,paper_doi_mirrored_texts;journals,https://archive.org/download/paper-doi-10_1098_rstl_1761_0076/paper-doi-10_1098_rstl_1761_0076_djvu.txt,rforster|observations on noxious animals in england by the
IA,bim_eighteenth-century_the-natural-history-of-t_buffon-georges-louis-le_1762,"The natural history of the horse. To which is added that of the ass, bull, cow, ox, sheep, goat, and swine. ... Translated from the French of the celebrated M. de Buffon. 1762","Buffon, Georges Louis Leclerc.",1762,pub_eighteenth-century;bim_microfilm;microfilm;fav-rachelmwinter,https://archive.org/download/bim_eighteenth-century_the-natural-history-of-t_buffon-georges-louis-le_1762/bim_eighteenth-century_the-natural-history-of-t_buffon-georges-louis-le_1762_djvu.txt,buffon|natural history of the horse to which is
IA,McGillLibrary-rbsc_blackerwood_watercolours-birds-eggs_QL674L49-20616,Original water-colour drawings of birds and eggs,"Lewin, John William, 1770-1819",1763,mcgilluniversity;mcgilluniversityrarebooks;toronto;fav-545s;fav-aaronmorgan;fav-anatomy_elf;fav-artevious;fav-atlantic_sunrise;fav-avstock;fav-boopsie7;fav-budgiestew40;fav-carolyn_sears;fav-ces2021;fav-chris_jones987;fav-christchurchdan;fav-daynana;fav-gemma_lanau;fav-j_david_black;fav-jean-david;fav-jijin_wu;fav-joyousjam;fav-katiegirl78;fav-lessismor3;fav-mamman234;fav-monicalosangeles;fav-nenarok;fav-nihatozcan;fav-nikthebooksmith;fav-ojibwagirl;fav-penelope_ashwood;fav-planetsolemn;fav-quatermain;fav-silhouettestand;fav-starsunflower;fav-subtletys;fav-yoshiyamadeep;fav-yosoyamoi,https://archive.org/download/McGillLibrary-rbsc_blackerwood_watercolours-birds-eggs_QL674L49-20616/McGillLibrary-rbsc_blackerwood_watercolours-birds-eggs_QL674L49-20616_djvu.txt,lewin|original water colour drawings of birds and eggs
IA,bim_eighteenth-century_a-new-and-accurate-syste_brookes-richard-md_1763_2,A New and Accurate System of Natural History 1763: Vol 2,"Brookes, Richard, M.D.",1763,pub_eighteenth-century;bim_microfilm;microfilm;fav-klotusflower96,https://archive.org/download/bim_eighteenth-century_a-new-and-accurate-syste_brookes-richard-md_1763_2/bim_eighteenth-century_a-new-and-accurate-syste_brookes-richard-md_1763_2_djvu.txt,brookes|new and accurate system of natural history 1763
IA,bim_eighteenth-century_curious-and-authentic-me_1763,"Curious and authentic memoirs concerning a late peace, concluded between the rooks and jackdaws. Extracted from the general history of the annual assembly of birds, and other undoubted authorities. 1763",,1763,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_curious-and-authentic-me_1763/bim_eighteenth-century_curious-and-authentic-me_1763_djvu.txt,|curious and authentic memoirs concerning a late peace
IA,bim_eighteenth-century_a-new-accurate-system-of_brookes-richard-md_1763_4,A New Accurate System of Natural History 1763: Vol 4,"Brookes, Richard, M.D.",1763,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_a-new-accurate-system-of_brookes-richard-md_1763_4/bim_eighteenth-century_a-new-accurate-system-of_brookes-richard-md_1763_4_djvu.txt,brookes|new accurate system of natural history 1763 vol
IA,bim_eighteenth-century_an-account-of-the-first-_roberts-william_1763,"An account of the first discovery, and natural history of Florida. With a particular detail of the several expeditions and descents made on that coast. Collected from the best authorities by William Roberts. Illustrated by a general map, and some par","Roberts, William",1763,pub_eighteenth-century;bim_microfilm;microfilm;fav-reddy_sauls,https://archive.org/download/bim_eighteenth-century_an-account-of-the-first-_roberts-william_1763/bim_eighteenth-century_an-account-of-the-first-_roberts-william_1763_djvu.txt,roberts|account of the first discovery and natural history
IA,gleaningsnatura00plesgoog,"Gleanings of Natural History: Exhibiting Figures of Quadrupeds, Birds, Insects, Plants, Etc ...","George Edwards , Edmond Barker, J. Du Plessis",1764,europeanlibraries;fav-joyousjam,https://archive.org/download/gleaningsnatura00plesgoog/gleaningsnatura00plesgoog_djvu.txt,georgeedwards|gleanings of natural history exhibiting figures of quadrupeds
IA,bim_eighteenth-century_england-illustrated-or-_1764_2,"England illustrated, or, a compendium of the natural history, geography, topography, and antiquities ecclesiastical and civil, of England and Wales. With maps of the several counties, and engravings ... In two volumes. ... 1764: Vol 2",,1764,pub_eighteenth-century;bim_microfilm;microfilm;fav-iowacattails,https://archive.org/download/bim_eighteenth-century_england-illustrated-or-_1764_2/bim_eighteenth-century_england-illustrated-or-_1764_2_djvu.txt,|england illustrated or a compendium of the natural
IA,bim_eighteenth-century_melisselogia-an-enqui_thorley-john_1765,"[Melisselogia]. An enquiry into the nature, order, and government of bees, those instructive and useful insects. ... by the Reverend Mr. John Thorley, of Oxon. - The second - edition. Illustrated with copper-plates. 1765","Thorley, John.",1765,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_melisselogia-an-enqui_thorley-john_1765/bim_eighteenth-century_melisselogia-an-enqui_thorley-john_1765_djvu.txt,thorley|enquiry into the nature order and government of
